unit,sex,age,icd10,geo\time	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
RT,T,TOTAL,I20-I25,ITG1	112.77 	107.47 	103.25 	97.95 	95.42 	90.12 	87.92 	83.84 
RT,T,TOTAL,I20-I25,ITG2	88.81 	82.22 	77.18 	72.77 	70.89 	66.74 	64.13 	60.44 
RT,T,TOTAL,I20-I25,ITH1	104.69 	99.82 	92.03 	84.93 	81.4 	75.32 	74.38 	68.58 
RT,T,TOTAL,I20-I25,ITH2	116.46 	108.88 	105.74 	98.76 	95.39 	84.83 	78.98 	73.96 
RT,T,TOTAL,I20-I25,ITH3	105.17 	98.94 	93.47 	89.88 	86.73 	80.88 	75.78 	72.67 
RT,T,TOTAL,I20-I25,ITH4	114.07 	109.59 	106.73 	100.77 	96.46 	88.86 	84.69 	82.11 
RT,T,TOTAL,I20-I25,ITH5	104.89 	98.37 	92.63 	86.72 	82.87 	76.83 	73.07 	69.24 
RT,T,TOTAL,I20-I25,ITI1	96.46 	89.27 	84.96 	79.98 	77.03 	70.54 	66.36 	62.59 
RT,T,TOTAL,I20-I25,ITI2	127.04 	120.57 	115.02 	107.14 	103.68 	93.61 	88.14 	80.55 
RT,T,TOTAL,I20-I25,ITI3	115.98 	109.13 	106.28 	102.54 	100.48 	93.79 	88.18 	85.12 
RT,T,TOTAL,I20-I25,ITI4	127.11 	119.18 	115.85 	111.02 	107.4 	99.69 	95.36 	90.76 
RT,T,TOTAL,I20-I25,LI00	119.68 	93.57 	80.89 	69.81 	61.58 	67.57 	62.73 	65.63 
RT,T,TOTAL,I20-I25,LT01	509.12 	508.13 	513.79 	506.37 	476.97 	444.63 	406.4 	399.6 
RT,T,TOTAL,I20-I25,LT02	615.27 	603.52 	599.54 	589.85 	584.35 	558.2 	528.62 	515.42 
RT,T,TOTAL,I20-I25,LU00	88.28 	84.27 	81.43 	80.05 	78.04 	77.95 	69.43 	63.95 
RT,T,TOTAL,I20-I25,LV00	474.07 	461.95 	447.28 	425.61 	399.85 	375 	353.81 	343.26 
RT,T,TOTAL,I20-I25,MT00	258.13 	238.78 	208.33 	196.26 	191.23 	174.04 	168.46 	159.21 
RT,T,TOTAL,I20-I25,NL11	79.28 	77.21 	73.63 	71.59 	66.24 	65.46 	63 	62.89 
RT,T,TOTAL,I20-I25,NL12	72.62 	69.81 	64.35 	65.05 	61.74 	60.62 	56.6 	55.76 
RT,T,TOTAL,I20-I25,NL13	69.87 	65.9 	63.46 	61.5 	57.38 	58.06 	58.31 	59.68 
RT,T,TOTAL,I20-I25,NL21	65.9 	60.69 	59.2 	58.29 	57.6 	56.97 	54.01 	51.92 
RT,T,TOTAL,I20-I25,NL22	70.97 	67.29 	62.63 	58.77 	56.83 	55.23 	53.98 	50.58 
RT,T,TOTAL,I20-I25,NL23	77.94 	69.57 	69.92 	64.75 	59.88 	57.66 	55.72 	57.33 
RT,T,TOTAL,I20-I25,NL31	64.93 	61.82 	58.76 	56.48 	53.87 	51.45 	51.84 	49.34 
RT,T,TOTAL,I20-I25,NL32	69.58 	64.51 	60.55 	58.21 	54.98 	52.69 	49.17 	48.75 
RT,T,TOTAL,I20-I25,NL33	67.06 	63.61 	61.71 	59.24 	57.51 	53.5 	51.09 	47.91 
